"Ár";"Vörutegund";"Alls Einingar";"Alls Tonn";"Alls CIF í milljónum króna"
"2003";"72  Steypustyrktarjárn";0;21366;517
"2003";"72  Þakjárn";0;7;4
"2003";"73  Miðstöðvarofnar";0;987;186
"2003";"84  Kæli­ og frystitæki til heimilis";15695;801;409
"2003";"84  Þvottavélar";12851;706;338
"2003";"85  Sjónvarpstæki";27854;635;567
"2003";"85  Hljóðvarpstæki";83106;176;280
"2003";"87  Hjóladráttarvélar";104;435;302
"2003";"87  Almenningsbílar";88;602;898
"2003";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";11002;15857;12272
"2003";"87  Vöru- og sendibílar";1516;4383;3131
"2003";"87  Aðrir bílar";251;72;130
"2003";"87  Fjórhjól";216;56;60
"2003";"84, 87  Bílavarahlutir";0;1385;1756
"2003";"88  Flugvélar";9;74;1149
"2003";"89  Farskip, ferjur";5;6563;2004
"2003";"89  Fiskiskip";4;465;637
"2003";"89  Önnur skip";3;109;29
"2004";"07  Kartöflur";0;1210;69
"2004";"07  Grænmeti";0;8857;1255
"2004";"08  Ávextir";0;16828;1994
"2004";"20  Ávextir niðursoðnir";0;1838;283
"2004";"09  Kaffi";0;2225;560
"2004";"10, 11  Kornvörur til manneldis";0;23719;648
"2004";"10, 11, 23  Fóðurvörur";0;66751;1479
"2004";"17  Strásykur, molasykur";0;10378;248
"2004";"17, 18  Sælgæti";0;2256;860
"2004";"19  Kex, kökur, brauðvörur";0;5043;1209
"2004";"24  Vindlingar";0;367;971
"2004";"24  Annað tóbak";0;76;174
"2004";"25  Salt (almennt)";0;84242;379
"2004";"28  Súrál";0;524310;8653
"2004";"27  Kol";0;104546;836
"2004";"27  Koks";0;52205;791
"2004";"27  Flugvélabensín";0;899;34
"2004";"27  Annað bensín";0;152088;4445
"2004";"27  Þotueldsneyti";0;124453;3503
"2004";"27  Gasolía";0;465633;11781
"2004";"27  Brennsluolía";0;55092;944
"2004";"27  Smurolía, smurfeiti";0;6423;724
"2004";"40  Hjólbarðar nýir";0;3862;1471
"2004";"40  Hjólbarðar notaðir";0;542;117
"2004";"44  Timbur";98114;56273;2173
"2004";"44  Krossviður";7472;4872;410
"2004";"44  Spóna­, byggingarplötur";0;15417;652
"2004";"48  Dagblaðapappír";0;12708;592
"2004";"48  Prent­ og skrifpappír";0;2521;273
"2004";"48  Kraftpappír, ­pappi";0;4824;192
"2004";"49  Bækur, blöð, tímarit";0;988;968
"2004";"33  Ilmvötn og snyrtivörur";0;1766;1843
"2004";"51  Ull";0;71;20
"2004";"57  Gólfteppi";0;602;217
"2004";"56  Fiskinet";0;557;319
"2004";"70  Rúðugler";0;4030;249
"2004";"72  Steypustyrktarjárn";0;28427;1020
"2004";"72  Þakjárn";0;55;6
"2004";"73  Miðstöðvarofnar";0;994;220
"2004";"84  Kæli­ og frystitæki til heimilis";17049;857;431
"2004";"84  Þvottavélar";15937;882;415
"2004";"85  Sjónvarpstæki";35448;865;712
"2004";"85  Hljóðvarpstæki";83588;188;269
"2004";"87  Hjóladráttarvélar";172;727;527
"2004";"87  Almenningsbílar";112;630;632
"2004";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";14149;20802;16451
"2004";"87  Vöru- og sendibílar";2478;6261;4515
"2004";"87  Aðrir bílar";489;608;1331
"2004";"87  Fjórhjól";223;71;76
"2004";"84, 87  Bílavarahlutir";0;1553;2080
"2004";"88  Flugvélar";14;234;5185
"2004";"89  Farskip, ferjur";0;0;0
"2004";"89  Fiskiskip";7;16663;3259
"2004";"89  Önnur skip";3;64;24
"2005";"07  Kartöflur";0;1365;65
"2005";"07  Grænmeti";0;9397;1275
"2005";"08  Ávextir";0;18596;2043
"2005";"20  Ávextir niðursoðnir";0;1750;250
"2005";"09  Kaffi";0;2432;659
